Data,Maquina,Motivo,Horas_paradas
2020-01-01,MC-3,Quebra,2.48
2020-01-02,MC-5,Quebra,3.64
2020-01-02,MC-5,Manutenção,2.72
2020-01-03,MC-2,Setup,1.87
2020-01-03,MC-2,Ajuste de processo,3.43
2020-01-03,MC-2,Limpeza,2.11
2020-01-04,MC-1,Limpeza,2.26
2020-01-04,MC-1,Troca de ferramenta,2.45
2020-01-04,MC-1,Limpeza,1.49
2020-01-04,MC-4,Troca de ferramenta,2.97
2020-01-04,MC-4,Ajuste de processo,0.66
2020-01-04,MC-5,Falta de energia,3.51
2020-01-04,MC-5,Falta de material,3.09
2020-01-04,MC-5,Falta de energia,1.61
2020-01-05,MC-2,Limpeza,1.14
2020-01-05,MC-2,Quebra,1.74
2020-01-05,MC-5,Setup,3.28
2020-01-06,MC-3,Limpeza,0.42
2020-01-06,MC-3,Ajuste de processo,2.03
2020-01-06,MC-4,Manutenção,1.24
2020-01-06,MC-4,Ajuste de processo,3.54
2020-01-06,MC-4,Troca de ferramenta,1.83
2020-01-07,MC-1,Falta de energia,2.88
2020-01-07,MC-1,Limpeza,1.62
2020-01-07,MC-2,Ajuste de processo,1.52
2020-01-07,MC-2,Setup,1.51
2020-01-07,MC-3,Setup,2.81
2020-01-07,MC-4,Ajuste de processo,3.87
2020-01-07,MC-5,Manutenção,1.07
2020-01-07,MC-5,Ajuste de processo,2.68
2020-01-07,MC-5,Troca de ferramenta,1.28
2020-01-08,MC-1,Setup,2.33
2020-01-08,MC-1,Limpeza,2.3
2020-01-08,MC-1,Falta de energia,1.97
2020-01-08,MC-4,Quebra,2.14
2020-01-09,MC-5,Setup,3.56
2020-01-10,MC-2,Troca de ferramenta,0.63
2020-01-10,MC-2,Falta de material,3.37
2020-01-10,MC-2,Manutenção,2.01
2020-01-10,MC-4,Falta de energia,1.53
2020-01-11,MC-1,Setup,0.96
2020-01-11,MC-2,Manutenção,3.31
2020-01-11,MC-2,Falta de energia,2.49
2020-01-11,MC-4,Limpeza,2.99
2020-01-11,MC-4,Quebra,1.47
2020-01-12,MC-3,Setup,1.75
2020-01-12,MC-3,Falta de material,3.68
2020-01-12,MC-3,Ajuste de processo,3.86
2020-01-14,MC-3,Manutenção,3.04
2020-01-14,MC-3,Setup,3.07
2020-01-15,MC-2,Ajuste de processo,2.87
2020-01-15,MC-4,Setup,2.47
2020-01-15,MC-4,Falta de material,2.5
2020-01-16,MC-2,Manutenção,3.87
2020-01-17,MC-4,Falta de energia,3.08
2020-01-17,MC-5,Quebra,2.72
2020-01-17,MC-5,Troca de ferramenta,1.0
2020-01-17,MC-5,Troca de ferramenta,3.92
2020-01-18,MC-1,Limpeza,2.23
2020-01-18,MC-1,Manutenção,3.79
2020-01-18,MC-1,Ajuste de processo,2.94
2020-01-18,MC-2,Setup,0.45
2020-01-18,MC-2,Ajuste de processo,2.29
2020-01-18,MC-2,Falta de energia,3.6
2020-01-19,MC-1,Manutenção,0.49
2020-01-19,MC-5,Ajuste de processo,3.51
2020-01-19,MC-5,Manutenção,2.57
2020-01-19,MC-5,Falta de energia,0.46
2020-01-20,MC-4,Manutenção,1.68
2020-01-21,MC-1,Limpeza,0.41
2020-01-21,MC-1,Ajuste de processo,0.31
2020-01-21,MC-3,Troca de ferramenta,3.62
2020-01-21,MC-3,Setup,3.07
2020-01-22,MC-5,Falta de material,1.37
2020-01-22,MC-5,Troca de ferramenta,0.72
2020-01-22,MC-5,Setup,0.5
2020-01-23,MC-5,Manutenção,3.69
2020-01-23,MC-5,Falta de energia,2.61
2020-01-24,MC-1,Falta de energia,0.89
2020-01-24,MC-1,Ajuste de processo,2.82
2020-01-24,MC-1,Falta de material,4.0
2020-01-24,MC-2,Manutenção,3.22
2020-01-24,MC-2,Manutenção,1.95
2020-01-24,MC-2,Manutenção,3.31
2020-01-24,MC-3,Quebra,3.05
2020-01-24,MC-4,Quebra,0.63
2020-01-24,MC-4,Setup,3.73
2020-01-24,MC-4,Falta de energia,3.57
2020-01-25,MC-1,Manutenção,2.49
2020-01-25,MC-4,Quebra,2.18
2020-01-25,MC-5,Quebra,1.14
2020-01-26,MC-3,Manutenção,3.39
2020-01-26,MC-3,Manutenção,1.9
2020-01-26,MC-4,Manutenção,2.44
2020-01-26,MC-4,Falta de energia,0.93
2020-01-26,MC-4,Setup,1.09
2020-01-26,MC-5,Manutenção,3.95
2020-01-26,MC-5,Ajuste de processo,2.13
2020-01-27,MC-1,Falta de energia,3.32
2020-01-27,MC-1,Manutenção,3.37
2020-01-27,MC-1,Ajuste de processo,3.93
2020-01-27,MC-2,Quebra,3.94
2020-01-27,MC-2,Ajuste de processo,1.99
2020-01-27,MC-4,Setup,3.82
2020-01-27,MC-4,Falta de energia,1.65
2020-01-27,MC-4,Troca de ferramenta,2.55
2020-01-28,MC-1,Falta de energia,3.34
2020-01-28,MC-1,Troca de ferramenta,3.68
2020-01-28,MC-5,Limpeza,2.24
2020-01-29,MC-3,Falta de energia,1.85
2020-01-29,MC-3,Setup,3.0
2020-01-29,MC-4,Ajuste de processo,1.99
2020-01-29,MC-4,Setup,2.79
2020-01-29,MC-4,Ajuste de processo,3.28
2020-01-31,MC-5,Ajuste de processo,3.41
2020-02-02,MC-4,Manutenção,1.24
2020-02-02,MC-4,Limpeza,2.41
2020-02-02,MC-4,Limpeza,0.39
2020-02-03,MC-2,Limpeza,3.25
2020-02-03,MC-3,Quebra,0.76
2020-02-03,MC-3,Setup,3.53
2020-02-03,MC-4,Limpeza,1.81
2020-02-03,MC-4,Troca de ferramenta,0.92
2020-02-04,MC-1,Falta de energia,3.24
2020-02-04,MC-1,Manutenção,1.04
2020-02-04,MC-1,Setup,1.76
2020-02-05,MC-3,Falta de energia,2.4
2020-02-05,MC-4,Limpeza,1.63
2020-02-05,MC-4,Manutenção,0.96
2020-02-05,MC-4,Falta de material,1.8
2020-02-05,MC-5,Troca de ferramenta,0.83
2020-02-05,MC-5,Falta de material,2.96
2020-02-05,MC-5,Limpeza,0.93
2020-02-06,MC-5,Quebra,2.08
2020-02-08,MC-1,Falta de energia,2.37
2020-02-08,MC-1,Troca de ferramenta,3.8
2020-02-08,MC-3,Quebra,0.59
2020-02-10,MC-5,Manutenção,3.74
2020-02-10,MC-5,Falta de energia,1.07
2020-02-12,MC-2,Quebra,3.41
2020-02-12,MC-2,Manutenção,0.63
2020-02-16,MC-1,Setup,3.96
2020-02-16,MC-1,Limpeza,3.29
2020-02-18,MC-1,Manutenção,0.53
2020-02-18,MC-2,Setup,1.09
2020-02-18,MC-2,Ajuste de processo,2.33
2020-02-18,MC-2,Limpeza,2.24
2020-02-20,MC-3,Falta de energia,2.63
2020-02-20,MC-3,Ajuste de processo,2.01
2020-02-21,MC-5,Limpeza,3.02
2020-02-21,MC-5,Manutenção,1.59
2020-02-21,MC-5,Ajuste de processo,0.95
2020-02-22,MC-3,Ajuste de processo,0.42
2020-02-22,MC-3,Setup,1.5
2020-02-22,MC-3,Falta de material,1.88
2020-02-23,MC-2,Quebra,2.74
2020-02-24,MC-5,Quebra,3.28
2020-02-25,MC-2,Falta de energia,1.19
2020-02-25,MC-2,Falta de energia,2.12
2020-02-26,MC-5,Troca de ferramenta,1.16
2020-02-26,MC-5,Troca de ferramenta,3.82
2020-02-26,MC-5,Ajuste de processo,2.7
2020-02-27,MC-2,Ajuste de processo,2.81
2020-02-28,MC-1,Falta de material,2.27
2020-02-28,MC-1,Quebra,1.34
2020-02-28,MC-1,Limpeza,1.04
2020-02-29,MC-1,Ajuste de processo,2.73
2020-02-29,MC-1,Limpeza,3.71
2020-02-29,MC-1,Falta de energia,1.09
2020-02-29,MC-2,Setup,2.42
2020-02-29,MC-2,Falta de material,2.26
2020-02-29,MC-2,Limpeza,2.67
2020-02-29,MC-4,Falta de energia,2.47
2020-02-29,MC-4,Quebra,1.31
2020-02-29,MC-4,Troca de ferramenta,2.86
2020-02-29,MC-5,Setup,1.31
2020-02-29,MC-5,Falta de material,2.72
2020-02-29,MC-5,Quebra,1.41
2020-03-01,MC-1,Quebra,0.6
2020-03-01,MC-1,Limpeza,0.77
2020-03-01,MC-1,Ajuste de processo,3.39
2020-03-01,MC-5,Setup,0.75
2020-03-02,MC-2,Limpeza,1.52
2020-03-02,MC-2,Falta de energia,1.36
2020-03-02,MC-4,Setup,0.51
