Data,Produto,Cliente,Quantidade_vendida,Preco_unitario,Valor_total
2020-01-01,Caneta Azul,Cliente Tau,21,23.95,502.95
2020-01-01,Caneta Azul,Cliente Alfa,13,20.08,261.04
2020-01-01,Caneta Azul,Cliente Delta,24,19.42,466.08
2020-01-01,Caneta Amarela,Cliente Alfa,49,21.44,1050.56
2020-01-01,Caneta Verde,Cliente Tau,16,7.41,118.56
2020-01-01,Caneta Verde,Cliente Kappa,7,8.25,57.75
2020-01-01,Caneta Verde,Cliente Kappa,4,8.02,32.08
2020-01-01,Caneta Verde,Cliente Delta,18,7.3,131.4
2020-01-01,Caneta Preta,Cliente Tau,55,13.27,729.85
2020-01-02,Caneta Azul,Cliente Kappa,19,22.49,427.31
2020-01-02,Caneta Azul,Cliente Kappa,29,23.01,667.29
2020-01-02,Caneta Amarela,Cliente Tau,23,18.19,418.37
2020-01-02,Caneta Amarela,Cliente Alfa,22,21.3,468.6
2020-01-02,Caneta Verde,Cliente Alfa,37,8.18,302.66
2020-01-02,Caneta Preta,Cliente Delta,25,12.69,317.25
2020-01-02,Caneta Preta,Cliente Kappa,9,13.53,121.77
2020-01-02,Caneta Preta,Cliente Lambda,8,15.34,122.72
2020-01-03,Caneta Azul,Cliente Delta,31,25.22,781.82
2020-01-03,Caneta Azul,Cliente Tau,28,19.63,549.64
2020-01-03,Caneta Amarela,Cliente Kappa,1,18.8,18.8
2020-01-03,Caneta Amarela,Cliente Lambda,5,18.85,94.25
2020-01-03,Caneta Amarela,Cliente Delta,17,20.44,347.48
2020-01-03,Caneta Amarela,Cliente Kappa,11,17.6,193.6
2020-01-03,Caneta Verde,Cliente Tau,34,8.75,297.5
2020-01-03,Caneta Verde,Cliente Alfa,26,8.86,230.36
2020-01-03,Caneta Preta,Cliente Tau,9,11.9,107.1
2020-01-03,Caneta Preta,Cliente Kappa,16,12.77,204.32
2020-01-03,Caneta Preta,Cliente Delta,22,11.69,257.18
2020-01-03,Caneta Preta,Cliente Tau,5,14.38,71.9
2020-01-04,Caneta Azul,Cliente Tau,53,22.2,1176.6
2020-01-04,Caneta Amarela,Cliente Delta,19,21.76,413.44
2020-01-04,Caneta Amarela,Cliente Kappa,11,20.55,226.05
2020-01-04,Caneta Amarela,Cliente Kappa,16,20.32,325.12
2020-01-04,Caneta Verde,Cliente Lambda,26,7.23,187.98
2020-01-04,Caneta Verde,Cliente Alfa,29,7.04,204.16
2020-01-04,Caneta Verde,Cliente Kappa,18,8.21,147.78
2020-01-04,Caneta Preta,Cliente Delta,44,13.09,575.96
2020-01-04,Caneta Preta,Cliente Alfa,48,14.48,695.04
2020-01-05,Caneta Azul,Cliente Tau,56,25.28,1415.68
2020-01-05,Caneta Amarela,Cliente Lambda,25,22.43,560.75
2020-01-05,Caneta Amarela,Cliente Alfa,12,22.56,270.72
2020-01-05,Caneta Amarela,Cliente Kappa,12,20.42,245.04
2020-01-05,Caneta Verde,Cliente Delta,52,7.52,391.04
2020-01-05,Caneta Preta,Cliente Delta,37,14.91,551.67
2020-01-05,Caneta Preta,Cliente Kappa,40,13.12,524.8
2020-01-06,Caneta Azul,Cliente Lambda,10,21.3,213.0
2020-01-06,Caneta Azul,Cliente Lambda,11,25.37,279.07
